Marca temporal,¿Qué edad tienes? (escribe tu respuesta en números),¿Cuál es tu sexo biológico?,Estado civil,"¿A qué estado de la República Mexicana perteneces? (sin abreviaturas) Ejemplo: Estado de México, Oaxaca, Ciudad de México, Puebla",1. El amor para mi es:,2. La primera palabra en la que pienso cuando escucho a alguien hablar sobre el amor es: ,3.. Pienso que el amor,4. Selecciona una de las opciones con la que estés de acuerdo,5. ¿Cuál crees que debería ser una de las principales características del amor?,6. Creo que el amor,7. Los componentes del amor son,8. Selecciona los tipos de amor conozcas,9. Creo que los seres humanos amamos porque,10. Un amor equilibrado debería ser o tener,"11. En cuanto al amor de pareja, prefiero que mi tipo de pareja sea:",12. Cuando amo yo suelo ser ,"13. El amor filial es igual, es decir, padre y madre aman de la misma forma ",14. El amor lo puede todo,15. Todo se perdona por amor,16. Existen las medias naranjas o almas gemelas,17. El amor no es igual a una relación de pareja
29/10/2021 14:16:46,14,Mujer,En una relación,Veracruz,"Tener cariño , interés, paciencia y comprensión hacia una persona ",Cariño ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Ser totalmente sano ,Es una decisión basada en compromiso y tolerancia,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Amor maternal, Amor propio",Somos seres agradecidos ,"La misma empatía , cariño y comprensión","Muy sincera , intrépida ","Muy cariñosa , detallista y comprensiva",3,2,1,1,4
29/10/2021 14:43:47,16,Mujer,Soltero (a),"Estado de Veracruz, Xalapa",El amor no es algo necesario para vivir ,Ninguna,No tiene ninguna utilidad,El amor propio significa admirar mis cualidades y mis logros,Respeto,Es una búsqueda de afecto,"Pasión, compromiso e intimidad","Amor romántico, Amor propio",Necesitan afecto,Respeto mutuo,Honesto,Cariñosa ,4,2,1,2,5
29/10/2021 15:32:36,21,Hombre,Soltero (a),Estado de México,"El sentimiento de bienestar, felicidad y cariño que genera una persona con otra, con otro ser vivo, un objeto o un acontecimiento",Seguridad,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Hacer sentir bien a las partes implicadas en todo momento,Es la consecuencia de procesos químicos y físicos de mi cuerpo con el fin de la reproducción sexual,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Amor maternal, Amor propio, Amor platónico",Es una consecuencia de los procesos psicológicos y fisiológicos que han intervenido en la dinámica social de la especie humana a lo largo de su historia evolutiva,"Reciprocidad, comunicación, empatía y aceptación","Comprensiva, recíproca, apasionada con lo que hace y con ganas de compartir su vida, no complementarla","Entregado, comprensivo, empático y a veces poco comunicativo",2,1,1,1,5
29/10/2021 15:45:24,19,Mujer,Soltero (a),CDMX,"Difícil de entender si es romántico, pero bonito de sentir.
El amor de familia y amigos es más fluido y reconfortante. ",Algún asunto romántico. ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,"Respeto, equidad, paciencia, aprecio. ",Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Eros o amor erótico, Storge o amistoso, Amor maternal, Amor propio, Amor platónico",Tenemos la necesidad de estar en grupo para sobrevivir. ,Respeto. ,Alguien cariñoso pero no demasiado. ,Dedicada. ,4,2,1,1,5
29/10/2021 15:45:42,24,Hombre,Soltero (a),Ciudad de México,Emociones asociadas a un acuerdo de convivencia mutua entre dos personas (o más si aplica),Correspondencia ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Respeto ,Es una decisión basada en compromiso y tolerancia,"Pasión, compromiso e intimidad","Amor romántico, Amor consumado, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio, Amor platónico","Porque al ser seres sociales, buscamos maneras de encontrar acuerdos en los cuales nos sintamos beneficiados ",Debe ser demostrado y correspondido ,Respetuosa y racional ,"Entregado, respetuoso y tolerante ",2,2,1,1,5
29/10/2021 15:46:42,32,Mujer,En una relación,Ciudad de México,Cuando mi marido me mira,Ciceron,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,Sinceridad,Es una decisión basada en compromiso y tolerancia,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Eros o amor erótico, Amor maternal, Amor propio, Amor platónico",Es imposible evitarlo,dar y recibir de igual forma,responsable,apasionada,1,3,1,1,4
29/10/2021 15:53:02,22,Hombre,Soltero (a),Guerrero ,"La pasión que uno como individuo tiene al ser satisfacción, felicidad, alegría hacia una persona, una acción, un objeto ",Pasión ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,"Felicidad, confíanza",Es una decisión basada en compromiso y tolerancia,"Pasión, compromiso e intimidad","Amor romántico, Amor consumado, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Ludus o lúdico, Amor maternal, Amor propio, Amor platónico",Porque es parte de la naturaleza misma,"En el que ninguna de las partes que esten en el amor se ven lastimadas, o se sientan incómodas o tristes ","Confiada, cariñosa, alegre ",Todo lo que este a mi alcance ,4,3,3,3,4
29/10/2021 15:54:38,20,Mujer,Soltero (a),Estado de México,"Poder sentirse libre en cualquier sitio, poder mostrarte sin ninguna máscara ante cualquier persona y poder encontrar la belleza incluso en las cosas más oscuras en uno mismo.",Libertad,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,"Sentirse libre, la paciencia, el cariño y la ternura.",Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,Intimidad y pasión,"Amor romántico, Amor fraternal, Amor compañero o sociable, Amor maternal, Amor propio, Amor platónico",Es una consecuencia de nuestra capacidad de conciencia y es un querer constante de que otras personas sean consientes de tu propia existencia. ,Tiempo de calidad con un ser querido entendiendo que ambas partes son seres independientes que también están viviendo sus propias vidas. Muchísima comunicación y momentos muy felices,"Una persona que entienda que siempre estaré dispuesta a llenarlo de ternura y cariño pero que también entienda que amarme no solo es cuando estoy feliz, sino también es cuando estoy triste o enojada con el mundo entero. ","Bastante flexible con cualquier cosa o situación, incluso siento que soy desapegada pero eso lo baso en que las personas existen aparte de mi y que no todo el tiempo estarán pegas conmigo. Pero cuando hay algún momento en el que toda mi atención está fija en otra persona no hago otra cosa más que admirar cada detalle de esa otra persona. ",3,1,1,5,1
29/10/2021 15:55:13,19,Mujer,Soltero (a),Ciudad de México,Una emoción que se siente ya sea por un ser vivo o incluso un objeto inanimado,Familia,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Respeto por quién o qué sea que ames,Es una búsqueda de afecto,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio, Pragma o pragmático, Amor platónico","Es una reacción natural, tan básica como respirar",Debería ser respetuoso,Una persona honesta,Atenta y cariñosa,3,1,1,1,4
29/10/2021 16:03:41,18,Mujer,Soltero (a),Estado de México ,"Muy bonito pero que conlleva responsabilidad y reciprocidad que a muchas personas se les hace muy complicado dar, por ello el amor se vuelve complicado ",Color rosa ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Se de cariño y respeto y recibas cariño y respeto ,Es una decisión basada en compromiso y tolerancia,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio, Amor platónico",Genera varias sensaciones que todos debemos sentir ,"Cariño, respeto, compromiso, responsabilidad",Cariño y respetuoso ,Muy cariñosa,4,1,1,4,5
29/10/2021 16:05:18,18,Mujer,Soltero (a),Ciudad de México ,"Tener un apoyo mutuo, confianza y sentirte en paz y feliz ",Bienestar ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,La confianza ,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Ludus o lúdico, Amor maternal, Manic o maníaco, Amor propio, Pragma o pragmático, Amor platónico","Porque nos ayuda a sentirnos unidos a alguien, nos da un sentido de pertenencia al saber qué hay gente con la que podemos contar.","Debería ser recíproco, que haya confianza","Alguien en quien pueda confiar, que me genere paz y que demuestre su amor hacia mí ","Muy cursi, me gusta demostrar mi amor y suele tomar confianza rápidamente ",2,1,1,4,3
29/10/2021 16:05:58,19,Mujer,Soltero (a),Estado de México ,Un sentimiento,Sensaciones ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,El respeto ,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Amor maternal, Amor propio, Amor platónico",Somos seres sentimentales,Comprensivo ,Madura y directa ,Muy tierna ,2,2,2,2,5
29/10/2021 16:07:52,23,Mujer,En una relación,Hidalgo,Una cuestión químico-biológica.,Felicidad ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Desinteresado. ,Es la consecuencia de procesos químicos y físicos de mi cuerpo con el fin de la reproducción sexual,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Amor maternal, Amor propio, Amor platónico",Somos seres sociables.,Respeto y empatía. ,Una persona con valores y decencia humana. ,Empática,1,3,1,2,5
29/10/2021 16:19:28,22,Mujer,En una relación,Querétaro ,Un sentimiento dificil ,Suerte ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,La Paz ,Es una decisión basada en compromiso y tolerancia,Afecto sinceridad compañerismo ,"Amor romántico, Amor consumado, Amor fraternal, Amor maternal, Amor propio",Podemos sentirlo ,Verdad ,Comprensivo ,Infeliz ,2,1,1,1,5
29/10/2021 16:20:23,18,Mujer,En una relación,Saltillo,un sentimiento muy intenso hacia algo o alguien,Humanx,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,Respeto,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Amor consumado, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio, Amor platónico",si no amaramos no seriamos humanos,es poder amar a ti mismo como a tu pareja ,"respetusx, amable, honestx, compensivx, cariñosx",una persona que da todo de sus posibilidades para que la relación sea lo mas sana posible,5,4,1,3,1
29/10/2021 16:20:59,23,Mujer,En una relación,Estado de México,Ser libre y crecer de la manita de alguien,Reciprocidad,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Comunicación,Es una decisión basada en compromiso y tolerancia,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Eros o amor erótico, Amor maternal, Amor propio, Amor platónico",Porque como seres sociales necesitamos vínculos para desarrollarnos y poder satisfacer deseos o necesidades,"Comunicación, recíprocidad, compromiso, tolerancia, acuerdos",Heterosexual (?) No entiendo bien ,Muy entregada ,2,1,1,2,5
29/10/2021 16:29:59,21,Mujer,Soltero (a),Puebla,"querer, admirar, estar orgulloso de alguien o algo","pareja, siempre se refieren a eso",Nos da un sentido a nuestras vidas,El amor propio significa admirar mis cualidades y mis logros,ternura ,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"ternura, cariño, bienestar ","Amor romántico, Amor consumado, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Manic o maníaco, Amor propio, Amor platónico",somos sociales y necesitamos crear vínculos ,bienestar ,"lindo, cariñoso y que respete mi espacio ",preocupada,1,1,1,2,5
29/10/2021 16:30:11,27,Hombre,Soltero (a),Ciudad de México,No puedo dar una respuesta objetiva al respecto más allá de decir que es un sentimiento (y tal vez esté equivocado).,Sentimientos,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,una o varias respuestas fisiológicas,Es una decisión basada en compromiso y tolerancia,combinaciones de todo lo anterior están implicadas,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio, Amor platónico, no estoy seguro de que todo lo que seleccioné sea parte de lo mismo",puede ser útil hacerlo si se busca un ambiente agradable,"no entendí esta pregunta, equilibrado respecto a qué?",no quiero tener una pareja en este momento de mi vida y seguramente no voy a querer tener pareja en muchos años,"Dependiendo del objeto o persona o acción amada, pero por lo general, irracional y muy sensible.",1,1,1,3,5
29/10/2021 16:30:32,22,Mujer,Soltero (a),Cuidad de México,"Un sentimiento universal que conlleva una serie de valores y compromisos, respecto a uno mismo (lo más importante), los amigos, familia, y por último la pareja romántica y sus derivados. En cada una de estas relaciones debe haber misma participación afectiva. ",totalidad,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,la paciencia ,Es una decisión basada en compromiso y tolerancia,"Pasión, compromiso e intimidad","Amor romántico, Ágape, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Amor maternal, Amor propio, Amor platónico",es una necesidad ,"comunicación, intimidad y confianza",alguien con responsabilidad afectiva y madurez ,"responsable, tolerante, segura, respetuosa, incondicional, retroalimentativa, afectuosa",2,4,2,1,2
29/10/2021 16:38:45,20,Hombre,Soltero (a),Ciudad de México,Un sentimiento.,Calidez.,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,El respeto.,Es una decisión basada en compromiso y tolerancia,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Amor maternal, Amor propio, Amor platónico","Es imposible no amar: es el producto multifactorial de respuestas fisiológicas-neuronales producidas por la interacción social y cuyo origen es muy lejano en nuestra historia evolutiva, pues muchos otros vertebrados son también capaces de amar. Sin importar las especificaciones espaciotemporales de cada individuo, es una norma que podemos sentir amor y que éste influye en nuestra vida, ya sea por su presencia o por su ausencia.","Correspondencia de ambas partes, respeto, empatía, cariño y autonomía. ",Con las mismas características que la respuesta anterior.,Pendejo.,4,1,1,1,5
29/10/2021 17:02:25,22,Mujer,Soltero (a),Veracruz ,"Dar sin esperar nada a cambio, ayudo por amor, no por el agradecimiento… Amo porque tengo amor, no para que me amen de regreso ",Libertad ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Respeto,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Apoyo, compromiso, pasión, intimidad ","Amor romántico, Amor fraternal, Amor compañero o sociable, Amor maternal, Amor propio, Amor platónico","Está en nuestra naturaleza, y hace las cosas más sencillas ","Respecto, individualidad, cariño, apoyo, comunicación ","Alguien que me admire, respete, apoye en todo, que me enseñe, me muestre afecto y sea comunicativo… de mi parte lo mismo","Compasiva, servicial, afectuosa",3,5,5,3,5
29/10/2021 17:23:18,21,Hombre,Soltero (a),Ciudad de México,"Una forma de dolor muy placentera, o una fuente de alegría y satisfacción, o un anhelo incesante y punzante, en fin muchas cosas xd",Nerviosismo,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Algo menos caprichoso y flexible.,Es una búsqueda de afecto,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Amor maternal, Amor propio","Ufff, puede ser porque nos va mejor estando con alguien, o para aguantar mejor las desgracias",Debería tener una gran intensidad pero no tener tendencia al vicio o la obsesión.,"Ufff, difícil. Honesta principalmente, pero no muy simple, no lo sé, no tengo una receta mágica xd","Creo que empalagoso, muy nostálgico y cursi gg",3,2,3,2,2
29/10/2021 17:32:10,23,Mujer,En una relación,Estado de México,"Reciprocidad, comprensión, apoyo, lealtad, cuidado ",Reciprocidad,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Confianza y cariño. ,Es una decisión basada en compromiso y tolerancia,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Amor propio, Amor platónico",Aprendemos a hacerlo,(no entendí ésta pregunta),"Atento, cariñoso, cuidadoso. ",Intensa. Muy intensa. ,2,1,1,1,5
29/10/2021 17:40:39,22,Hombre,Soltero (a),Ciudad de México,"Cuando quieres a la otra persona no sólo por cómo se ve ni su personalidad sino por lo que piensa, lo que desea y lo que es.",Labios,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio significa admirar mis cualidades y mis logros,Que venga de ambas personas,Es la consecuencia de procesos químicos y físicos de mi cuerpo con el fin de la reproducción sexual,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor maternal, Amor propio, Amor platónico",Porque evolucionamos para sobrevivir y eso combinado con el razocinio debe dar lugar al amor,No sé jajsjdfa,Con objetivos claros e inteligente,Tonto,2,1,1,3,4
29/10/2021 17:46:14,23,Mujer,En una relación,Ciudad de México ,Algo que las personas necesitamos y que esta dentro de cada persona. ,Sentimientos ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Confianza ,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Amor fraternal, Amor maternal, Amor propio, Amor platónico",Necesitamos ser amados por alguien más,Confianza ,Alguien en quien pueda confiar ,Escuchar a mi pareja ,4,3,2,4,4
29/10/2021 17:56:24,26,Hombre,Soltero (a),Estado de México ,"El amor es un sentimiento que cada persona experimenta de diferente manera, sin embargo es capaz de unir a las personas mediante un lazo extremadamente fuerte tanto que puede llegar a lastimar cuando existe una percepción diferente por parte de ambos.",Protección.,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Que sea incondicional.,Es una decisión basada en compromiso y tolerancia,"Compromiso, complicidad, tolerancia","Amor romántico, Amor fraternal, Eros o amor erótico, Amor maternal, Amor propio, Amor platónico","Creo que los humanos amamos porque queremos mejorar, inconscientemente buscamos a personas que nos complementan y decidimos amarlas, aunque sean diferentes a nosotros.","Un amor equilibrado debería hacrte mejorar como persona, que día tras día ese amor te vuelva más tolerante, más capaz y más humano.","Que sea cariñosa y comprensiva, que le guste ayudar a los demás y que siempre quiera superarse .","Suelo ser protector, intento apoyar a mi pareja a alcanzar sus metas y le hago ver las razones por las que no debería darse por vencida cuando algo sale mal.",4,5,1,5,5
